10:30:45.531 | 5253 | [main] | INFO  | b.c.a.ApiExemploApplication - Started ApiExemploApplication in 4.891 seconds (JVM running for 5.53)
10:30:45.534 | 5256 | [main] | INFO  | b.c.a.ApiExemploApplication - API de cadastro iniciada e pronta para receber requisições!
10:30:54.562 | 14284 | [http-nio-8080-exec-1] | INFO  | b.c.a.services.FuncionarioService - Funcionario salvo com sucesso!
10:38:57.553 | 267  | [main] | INFO  | b.c.a.ApiExemploApplication - Iniciando a api de cadastro!
10:38:58.079 | 793  | [main] | INFO  | b.c.a.ApiExemploApplication - Starting ApiExemploApplication on DESKTOP-VIHBB8T with PID 63648 (C:\Users\salan\Documents\Projects in Java\ApiExemplo\target\classes started by salan in C:\Users\salan\Documents\Projects in Java\ApiExemplo)
10:38:58.080 | 794  | [main] | INFO  | b.c.a.ApiExemploApplication - No active profile set, falling back to default profiles: default
10:39:02.988 | 5702 | [main] | INFO  | b.c.a.ApiExemploApplication - Started ApiExemploApplication in 5.332 seconds (JVM running for 5.956)
10:39:02.990 | 5704 | [main] | INFO  | b.c.a.ApiExemploApplication - API de cadastro iniciada e pronta para receber requisições!
10:40:05.843 | 241  | [main] | INFO  | b.c.a.ApiExemploApplication - Iniciando a api de cadastro!
10:43:18.488 | 240  | [main] | INFO  | b.c.a.ApiExemploApplication - Iniciando a api de cadastro!
10:43:19.009 | 761  | [main] | INFO  | b.c.a.ApiExemploApplication - Starting ApiExemploApplication on DESKTOP-VIHBB8T with PID 32608 (C:\Users\salan\Documents\Projects in Java\ApiExemplo\target\classes started by salan in C:\Users\salan\Documents\Projects in Java\ApiExemplo)
10:43:19.010 | 762  | [main] | INFO  | b.c.a.ApiExemploApplication - No active profile set, falling back to default profiles: default
10:43:23.563 | 5315 | [main] | INFO  | b.c.a.ApiExemploApplication - Started ApiExemploApplication in 4.971 seconds (JVM running for 5.583)
10:43:23.564 | 5316 | [main] | INFO  | b.c.a.ApiExemploApplication - API de cadastro iniciada e pronta para receber requisições!
10:45:10.445 | 246  | [main] | INFO  | b.c.a.ApiExemploApplication - Iniciando a api de cadastro!
10:45:11.017 | 818  | [main] | INFO  | b.c.a.ApiExemploApplication - Starting ApiExemploApplication on DESKTOP-VIHBB8T with PID 88136 (C:\Users\salan\Documents\Projects in Java\ApiExemplo\target\classes started by salan in C:\Users\salan\Documents\Projects in Java\ApiExemplo)
10:45:11.018 | 819  | [main] | INFO  | b.c.a.ApiExemploApplication - No active profile set, falling back to default profiles: default
10:45:15.508 | 5309 | [main] | INFO  | b.c.a.ApiExemploApplication - Started ApiExemploApplication in 4.942 seconds (JVM running for 5.568)
10:45:15.510 | 5311 | [main] | INFO  | b.c.a.ApiExemploApplication - API de cadastro iniciada e pronta para receber requisições!
10:45:23.130 | 12931 | [http-nio-8080-exec-1] | INFO  | b.c.a.services.FuncionarioService - Funcionario salvo com sucesso!
10:46:03.239 | 53040 | [http-nio-8080-exec-10] | INFO  | b.c.a.services.FuncionarioService - Funcionario salvo com sucesso!
10:46:25.968 | 243  | [main] | INFO  | b.c.a.ApiExemploApplication - Iniciando a api de cadastro!
10:46:26.447 | 722  | [main] | INFO  | b.c.a.ApiExemploApplication - Starting ApiExemploApplication on DESKTOP-VIHBB8T with PID 77608 (C:\Users\salan\Documents\Projects in Java\ApiExemplo\target\classes started by salan in C:\Users\salan\Documents\Projects in Java\ApiExemplo)
10:46:26.449 | 724  | [main] | INFO  | b.c.a.ApiExemploApplication - No active profile set, falling back to default profiles: default
10:46:30.874 | 5149 | [main] | INFO  | b.c.a.ApiExemploApplication - Started ApiExemploApplication in 4.809 seconds (JVM running for 5.404)
10:46:30.876 | 5151 | [main] | INFO  | b.c.a.ApiExemploApplication - API de cadastro iniciada e pronta para receber requisições!
12:45:02.618 | 249  | [main] | INFO  | b.c.a.ApiExemploApplication - Iniciando a api de cadastro!
12:45:03.207 | 838  | [main] | INFO  | b.c.a.ApiExemploApplication - Starting ApiExemploApplication on DESKTOP-VIHBB8T with PID 20900 (C:\Users\salan\Documents\Projects in Java\ApiExemplo\target\classes started by salan in C:\Users\salan\Documents\Projects in Java\ApiExemplo)
12:45:03.209 | 840  | [main] | INFO  | b.c.a.ApiExemploApplication - No active profile set, falling back to default profiles: default
12:45:07.938 | 5569 | [main] | INFO  | b.c.a.ApiExemploApplication - Started ApiExemploApplication in 5.206 seconds (JVM running for 5.85)
12:45:07.939 | 5570 | [main] | INFO  | b.c.a.ApiExemploApplication - API de cadastro iniciada e pronta para receber requisições!
12:47:08.624 | 126255 | [http-nio-8080-exec-1] | INFO  | b.c.a.services.FuncionarioService - Funcionario salvo com sucesso!
